__label__Support	these cars are prone to hacking like any other tech and can put millions of lives at risk
__label__Attack	autonomous cars will facilitate long commute riding
__label__Support	autonomous cars have not been proven to be safe.
__label__Attack	autonomous cars can help people to do more long distance traveling that will allow them to arrive refreshed and less anxious.
__label__Support	they have already shown that they cannot avoid all accidents.
__label__Support	autonomous cars are too risky on the road, hackers can find a way to take control and cause accidents
__label__Attack	they are the way of the future, and they decrease the amount of road accidents.
__label__Attack	many people who are not capable to drive, would be able to commute easily with autonomous cars
__label__Attack	why stop the development? sure delay releasing them to the public until the development is at a stage of safety that surpasses human driving but, there is nothing to be gained from stopping development
__label__Attack	autonomous cars are the future. much safer than driving home drunk.
__label__Attack	autonomous cars will benefit the environment and will also help eliminate driver error in road accidents.
__label__Attack	autonomous cars reduce the impact of human error on the roads, thus saving lives.
__label__Support	autonomous cars will increase the amount of traffic on the road
__label__Support	autonomous cars are dangerous, more dangerous than a single person could ever be. we're trusting a computer program to make life and death decisions.
__label__Attack	autonomous cars are also one for the future since they operate itself they will encourage safe driving,parking,traffic.fuel efficiency will be adapted as well
__label__Attack	autonomous cars are a thing of the future
__label__Support	an autonomous vehicle can never be programmed to make an ethical decision if faced with a crash situation
__label__Support	they are not yet ready to be on the roads, they could be very dangerous.
__label__Attack	autonomous cars will allow the disabled, elderly and visially impaired to have mobility and maintain independence.
__label__Attack	too many people drive dangerously. an autonomous car would prevent someone from driving drunk or texting and driving.
__label__Support	the development of autonomous cars is dangerous and removes human control
__label__Attack	this would be a great way to allow blind people to be independent
__label__Support	the technology in autonomous cars is unproven and still unsafe, it has already resulted in multiple deaths. automatic cars should be banned from public roads immediately to stop further casualities.
__label__Support	it is still too early to allow autonomous cars to move freely
__label__Attack	autonomous cars are the future of road transport and can help people drive in a safer way and even relaxing while using them.
__label__Position	The EU needs strong advertising and recruitment strategies for students and qualified employees
__label__Support	The EU should attract the world's most talented and most entrepreneurial. There was an attempt to reform the blue card directive by the Junker commission in order to create a new streamlined EU-wide visa category, similar to the short-lived Schengen visa. The holder of the new blue-card-like visa would have the entire EU labor market at their disposal.
__label__Support	The EU has, for too long, seen a net exodus or brain drain of highly qualified people.
__label__Support	Compared to most anglophone countries, Europe has been quite timid in attracting talent across the globe. Too few people know of and make use of the EU Blue Card. The EU is a destination of choice for migration and refugees from developing and some neighboring countries.
__label__Position	We should put a higher tax or a toll on imported meat from abroad.
__label__Position	NEET exam should be banned
__label__Attack	NEET exam standardizes the entrance criterion for medical education across the country. As a high score is required to get into government medical colleges, the exam ensures meritocracy.
__label__Attack	But every year, less than 20% of the students are passing the exam. By this, it is evident that the quality of medical education in other countries where Indian students are studying is not at par with the medical education in India. So, it is very important to take steps to provide affordable and high-quality medical education in India.
__label__Support	As the exam requires additional study, coaching centers are taking advantage of the situation and are charging lakhs of rupees for the coaching for the NEET exam. So, due to this, students who cannot afford the coaching are at a disadvantage.
__label__Support	Students work hard to score well in class 12 exams, but all that hard work is not recognized. And only the NEET score is considered for entry into medical college, which is very unfair. Moreover, the NEET exam is mainly based on the CBSE curriculum. So, state board students have to study additional things to get a good score on the exam.
__label__Support	A high score in the NEET exam is required to get admission to government medical colleges in India. It costs approximately Rs.1.25 crores to study in private medical colleges in India. So, many students are forced to go to other countries such as China, Ukraine, Russia, the Philippines, etc. to pursue medical education. In those countries, medical education costs around Rs.35 lakhs. Moreover, they allow students with low NEET scores, but above cut-off marks.
__label__Support	whaling is a barbaric practice that destroys majestic animals
__label__Attack	There is little difference between the whaling industry and our farming industries; humans are entitled to hunt animals to eat them and utilize them to our benefit.
__label__Support	whaling is inhumane and unnecessary and killing the whale population.
__label__Attack	whaling is an important part of the diet, tradition and economies of many countries, and it is not our place to dictate terms as outsiders to their culture.
__label__Attack	if people can get food and other products from whaling that helps sustain them, then it shouldn't be banned.
__label__Attack	whaling should be allowed when it will help to revive dwindling fish populations.
__label__Attack	whaling is part of a great number of cultures
__label__Support	we should ban whaling because there is very little profit in the business and does nothing but kill fairly rare animals.
__label__Support	whaling should be banned because it harms economic activity that's generated by whale watching
__label__Attack	most whaling is done under controlled situations, and is done for research purposes.
__label__Support	whaling is wiping out species for little in return.
__label__Support	Whale meat has high levels of mercury and is unhealthy as part of a diet.
__label__Attack	whaling is an important cultural tradition in countries such as japan; therefore we should allow it to continue.
__label__Support	it is harmful and may lead to whale extinction.
__label__Support	whaling is cruel and inhumane; it should be banned.
__label__Support	whaling kills whales in an inhumane way
__label__Support	whaling is inhumane and should be banned.
__label__Support	so often these creatures are butchered to death for one small part of their anatomy for medicine made up by a scam doctor
__label__Attack	We should not ban whaling because it is important to many aboriginal cultures in the arctic, and it is wrong for the governments of countries like Canada and Russia to oppress those peoples.
__label__Attack	many peoples make there livelihoods on whaling
__label__Attack	some cultures like inuits rely on whales for many things like food and heating, and they use practically the entire whale.
__label__Attack	we use whales for many usable products.
__label__Support	whaling is humane and cruel and should be banned, especially with a dwindling whale population.
__label__Attack	whaling provides jobs for many people
__label__Attack	whaling is an important part of some cultures and provides jobs. you can't take that away from people that rely on it just because you don't like it.
__label__Attack	whaling is a traditional occupation of some cultures and their cultural heritage would be lost if they were not able to continue whaling.
__label__Support	whaling is barbaric and cruel to whales and should therefore be banned
__label__Support	whaling is damaging to whale populations as well as other species of fish.
__label__Attack	whaling provides jobs and income for many people
__label__Attack	it is not fair to ban whaling whilst allowing farming of cows and sheep for meat. one animals' life should not be valued higher than another.
__label__Attack	whaling is an important source of food for native americans who near the artic circle and because of this we should allow a certain amount of whaling.
__label__Support	we should ban whaling because it is inhumane and because whales are becoming extinct.
__label__Support	whaling serves no purpose, there's no great benefit. it only serves to disrupt the ocean ecosystems and cause needless suffering. it should absolutely be banned.
__label__Support	whales could be in danger of going extinct if fisherman can go out and kill them.
__label__Attack	whaling provides food and fuel for many people
__label__Attack	whaling is a major life blood for some communities.
__label__Attack	We should not ban whaling because there are whale species that could be sustainably harvested, albeit not all whale species.
__label__Attack	there are still people that live off of whaling and banning it would take away their food and income.
__label__Support	whaling should be banned because they're killed inhumanely.
__label__Attack	many economies are sustained thanks to whaling
__label__Attack	whaling is quite a profitable profession.
__label__Support	whaling should be banned as a matter of urgency. cruelty to such majestic, large animals is inhumane and unnecessary.
__label__Support	whaling should be banned. the number of whales is depleting seriously and is a real environmental concern.
__label__Support	the whales are the ambassadors of the sea and an icon of the struggle to protect the planet. they must prohibit whaling
__label__Support	Whales are wonderfully intelligent creatures that don't deserve to be hunted in such a gruesome manner.
__label__Support	we should ban whaling because it is leading to the extinction of whales
__label__Support	we need to ban whaling to protect whales from going extinct
__label__Attack	we should not ban whaling because it provides jobs and food for people.
__label__Attack	so long as a limited number are harvested it is ok
__label__Attack	Whaling is an important industry in some countries for their economical stability.
__label__Support	whale populations are depleted and need protecting
__label__Attack	whaling is part of the culture of various indigenous population and should be allowed for the purpose of maintaining this tradition and way of life and sustenance, among other uses of a whale.
__label__Support	whales need to be protected before they are endangered.
__label__Support	whaling has devastating effects on the entire ocean ecosystem.
__label__Attack	if a county wants to hunt and kill whales they should be allowed to do so
__label__Support	because it is a cruel way of killing a whale and causes great suffering and could cause the extinction of some species of whales.
__label__Support	whaling should be banned because we need to protect whales from becoming extinct.
__label__Support	whales are necessary for ecological sustainability of the oceans
__label__Support	whaling is contributing to the extinction of a lifeform and is unethical
__label__Attack	whaling has been an intergral part of many cultures for centuries.
__label__Attack	whaling is an important part of several cultures. it is wrong to impose our rulings on their ancient beliefs
__label__Support	whaling is unnecessary for human survival and endangers whales as a species.
__label__Support	killing whales is cruel and inhumane and if we don't ban it now we risk losing the entire whale species.
__label__Attack	There is still a vast amount of scientific knowledge that can be acquired from whaling.
__label__Attack	there are people who live from this activity and you have to get a better job
__label__Support	whaling shuld be banned because it is a cruel and outdated practice & no longer serves a purpose
__label__Attack	we shouldn't ban whaling because people living in poverty filled countries rely on whaling as there only source of food.
__label__Support	there is no benefit to whaling; it is bloody and barbaric.
__label__Support	it is cruel and really is not necessary.
__label__Support	Whaling will threaten to endanger many species of whale.
__label__Attack	we should not ban whaling are not animals in the process of extinction and their meat is nitritiva
__label__Attack	banning all whaling is only justified by making cultural judgements.
__label__Attack	banning whaling would take away a tradition from some cultures they've had for hundreds of years.
__label__Attack	whaling provides food and other resourses for people that are poor
__label__Support	we should ban whaling because it is endangering some species and it is totally unnecessary to human existence.
__label__Attack	whaling is a tradition with some native groups and they need the meat to survive through winter
__label__Support	whaling is inhumane and also contributes to the dwindling number of whales in existence, who need protection rather than hunted.
__label__Support	whaling disturbs the delicate balance of sea life
__label__Support	we should ban whaling because they are becoming closer to being extinct. no animal should be killed when there is not an abundance of their species.
__label__Support	whaling is carried out in an indiscrimate and inhumane manner, driving certain species to the brink of extinction.
__label__Support	whaling is causing the depletion of the whale species. we don't need to lose another species of animal on the planet.
__label__Support	whale are an important part of the ecosystem and whaling threatens their survival on this planet.
__label__Attack	some cultures see whaling as a tradition that is important to their history and custom.
__label__Attack	we shouldn't ban whaling because it is so important to many cultures. as long as the whales are sustainably harvested, what is the issue?
__label__Support	whaling is not just cruel, but an indefensible assault on endangered species.
__label__Attack	Whaling is an important cultural practice for the Japanese. Rather than banning it, it should be regulated.
__label__Support	whaling is a particularly cruel and inhumane with 16,000 whales killed every year during the last century endangering some species.
__label__Attack	people's jobs depend on whaling, there is a whole industry which would be destroyed if whaling was banned, resulting in hardships for whole communities.
__label__Attack	some tribes depend on whaling resources to survive.
__label__Support	Whaling should be banned because it is barbaric and over-killing is causing whales to become an endangered species.
__label__Attack	whaling is no different to any other kind of hunting which are not protested against.
__label__Support	Whales are sentient, intelligent creatures and as such, have a right to life.
__label__Attack	whaling provides a lot of income for people that would then become unemployed if they couldn't do it anymore.
__label__Attack	there should be no difference between killing one animal and another. if it is acceptable to kill a cow it should be acceptable to eat a whale.
__label__Attack	whale meat is part of the traditional cuisine of many cultures, and is simply another form of fishing - simply the case of coastal communities consuming what is available to them.
__label__Attack	whaling is profitable for the people that do it and would result in a loss of income and tradition.
__label__Position	The European Union has no other choice than to reject all immigration, except for workers they need.
__label__Support	Africa and the Middle East have the highest birthrate in the World. Africa has up to 7 children per woman. The EU has 1,55. It is this high birthrate that keeps them poor. There is almost nothing the EU can do about it.
__label__Support	The EU is not responsible for the entire World.
__label__Support	Africa and the Middle East have the highest birthrate in the World. Africa has up to 7 children per woman. The EU has 1,55. It is this high birthrate that keeps them poor. There is almost nothing the EU can do about it.
__label__Support	The EU is not responsible for the entire World.
__label__Position	We should ban fast food
__label__Support	fast food should be banned because it is really bad for your health and is costly.
__label__Support	fast food is bad for adults and children and causes obesity and the risk of diabetes in many cases.
__label__Support	fast food is bad for our health and we really should ban any of it
__label__Attack	fast food is sometimes the only way poor people can feed their families cheaply. if you ban it then you are taking away someone's only meal.
__label__Attack	we all have the right to eat what we want, to prohibit a specific type of food is an abuse of power
__label__Support	is leading to increased obesity and many health problems.
__label__Attack	fast food is great when you need a quick meal on the run and it is more nutritious than snacking on chocolate bars or unhealthy snacks.
__label__Support	fast foods are extremely high in calories, and it's easy for a person to exceed the recommended number of calories when they eat fast foods
__label__Attack	we shouldn't ban fast food because it is an affordable option for people that might not be able to get hot food otherways.
__label__Support	fast food is known to contain unhealthy fats and no necessary nutrients
__label__Attack	banning fast food is an example of regulations which take away our right to freedom.
__label__Attack	fast food is good for busy people allowing the to pick up something to eat on the go.
__label__Attack	Some fast food restaurants offer healthy alternatives and provide a quick , nutritious meal on-the-go.
__label__Attack	fast food shouldn't be banned because it helps people save times
__label__Attack	banning this is a slippery slope to all sorts of objectively unhealthy food on the market
__label__Support	fast food is the cause of the ever increasing chronic conditions and obesity in our nation.
__label__Support	we should ban fast food because all of the chemicals it is made with is unhealthy and makes you obese
__label__Support	fast food has proven to be detrimental to the health of all people and should be banned immediately.
__label__Attack	this is a free country. people are free to make bad nutritional decisions
__label__Support	fast food threatens the health of many americans.
__label__Attack	people should be able to choose what they want to eat
__label__Support	fast food has almost non nutritional value. it is full of bad unhealthy ingredients and is causing the rise in health problems and obesity in the nation.
__label__Attack	fast food is no more unhealthy than some gourmet food its just cheaper and made with less costly ingredients. fast food is not the issue, lack of control in eating it is the reason people are fat.
__label__Support	fast food should be banned because it is full of unhealthy ingredients that contribute to the failing of american health.
__label__Attack	fast food is a great option for people who are to busy to sit down for a meal.
__label__Support	there is no fast food that is healthy so banning it would improve public health immeasureably.
__label__Attack	fast food enables people who lead busy lives to be able to have meals on the go. this way they do not miss meals.
__label__Attack	we shouldn't ban fast food in some ocations
__label__Support	fast food is bad for children and is extremely poor quality
__label__Attack	fast food should not be banned as it is comforting, allows for social events and interaction and is enjoyed by many
__label__Support	fast food is leading to an obesity epidemic and a health crisis.
__label__Support	fast food is unhealthy and causes obesity
__label__Support	we should ban fast food as it is very unhealthy and is creating a lazy culture in which people do not cook or eat fresh food.
__label__Support	we should ban fast food because it is essentially just making obesity the most convenient lifestyle
__label__Support	fast food is the main culprit for our current obesity epidemic. we need to get rid of it to restore our health in the future.
__label__Support	banning fats food should be obligatory for all governments as hurting people health.
__label__Attack	fast food is cheap and easy and is often the only way poor people can feed their families. if you ban fast food these people won't have enough food to get thru til their next check comes.
__label__Support	eating fast food one time per week increased the risk of death by coronary heart disease by 20 percent
__label__Attack	people need to be allowed to make their own food choices, for some people ithout thir own kitchen then fast food may be the only way they can ever get a hot meal
__label__Support	fast food has brought so much health damage to our society that control of this type of food is necessary
__label__Support	fast food can lead to obesity if eaten too often. banning it would mean people have less access and obesity levels would fall.
__label__Support	fast food leads to poor choices, which lead to diseases like diabetes and obesity.
__label__Support	fast food causes obesity and health problems and sets children up with poor eating habits for life.
__label__Support	fast food should be banned to fight obeisity.
__label__Attack	fast food is convenient food and cheap
__label__Attack	we should not ban fast food because they are part of the economy
__label__Support	Fast food is leading to a major increase in obesity and other health issues in the U.S.
__label__Support	fast food contributed to the obesity problem in the us
__label__Attack	there is no need to ban fast food because there are some fairly healthy options to choose from. it's up to people to make smarter decisions about their food and their future health
__label__Attack	fast food is itself not harmful but it is the number of times it is eaten and the quantity that is unhealthy
__label__Attack	fast food is okay in moderation and doesn't need to get banned
__label__Attack	we should not ban a food simply because it is quick to buy! we can tax or ban the harmful components like saturated fat, and actually target the issue rather than indiscriminately target the convenience.
__label__Attack	fast food is a cheap treat and to ban it would be to take the joy out of life for many people.
__label__Support	Fast food is a leading cause of obesity in the world and needs to be banned.
__label__Attack	fast food is necessary in our modern world and help people have a cheap meal
__label__Attack	in moderation, fast food can be a treat or convenient meal for busy people. we should allow people to enjoy it.
__label__Support	fast food should be banned because it is nutritionally lacking in many essential nutrients, plus it provides substances that are totally unhealthy to the human diet, such as excess fat and sugar.
__label__Attack	people are free to eat whatever they choose. it's a cheap and fast way for people to get a meal when they are in a hurry or can't afford the expensive organic and natural foods.
__label__Attack	fast food is sometimes the only option for families that are on the go all the time.
__label__Attack	many brands are now offering healthier options such as salads & vegetarian foods, just because its called fast food doesn't mean its unhealthy
__label__Attack	people should be able to assess the risks of eating fast food themselves
__label__Support	fast food has become extremely unhealthy and contributing to nation's obesity crisis.
__label__Support	fast foods are generally greasy and fattening. by banning them it would help control some of the obesity in the country.
__label__Support	fast food is quickly leading to child obesity and an unhealthy generation.
__label__Attack	people have the right to decide for themselves what they want to eat
__label__Support	we should ban fast food because the majority of it is not of nutritional value to the body by being filled with chemicals and carbohydrates.
__label__Support	fast food is bad for one's health and should be banned
__label__Support	fast food is high in calories and causes obsesity
__label__Support	obesity is rising at an alarming rate and fatty foods and sugar filled drinks are shown to be one of the biggest contributors so fast food should be banned because those foods are sold there.
__label__Attack	fast food restaurants sell all types of food including soups and salads. people should be able to choose what they want to eat without government interference.
__label__Support	we should ban fast food because it is not good for people's health and they are very unhealthy in terms of calories
__label__Support	fast food is high fat and unhealthy food
__label__Support	fast food is nutritionally devoid, cruel to animals, pollutes the environment and is aggressively marketed towards impressional children.
__label__Support	we should ban fast food as its unhealthy and can cause sedentary lifestyles and cardiovascular disease
__label__Attack	people should have the freedom to eat what hey want.
__label__Support	fast food is no good for anyone because it makes people fat and unhealthy.
__label__Attack	Fast food provides people with jobs and is convenient for busy families.
__label__Attack	you can't govern what an individual chooses to eat
__label__Support	we should ban fast food because obesity the biggest health crisis in the country
__label__Support	fast food is one of the leading causes of obesity.
__label__Attack	fast food is an inexpensive alternative for those that can't afford higher value nutrition or do not have the time to cook and sit for an elaborate supper every day.
__label__Attack	fast food is a treat that can be enjoyed when eaten sensibly and brings joy and social interaction.
__label__Support	fast food contains ridiculous amounts of harmful ingredients
__label__Attack	people should be able to choose what they put into their bodies.
__label__Support	obesity is at epidemic levels. it effects everyone by overburdening medical providers and drives up everyone's insurance rates
__label__Support	fast food is unhealthy for us with its ingredients and the way its made
__label__Attack	banning fast food won't change anyone's diet because unhealthy choices will still be there
__label__Support	fast food is unhealthy, cheap and easy to find and it needs to be banned
__label__Attack	just because some people are overweight and unhealthy doesn't mean we need to ban fast food for everyone
__label__Attack	People should have the choice and a little fast food as part of a balanced diet is not harmful.
__label__Attack	people should be allowed to eat what they want
__label__Attack	people have the right to eat anything they would like.
__label__Attack	Fast food provides a cheap and consistent meal for many people who see it as an occasional meal or treat and this should not be restricted because others cannot make good dietary choices.
__label__Support	Fast food is detrimental to our health and spiritual wellbeing, especially to our children and it should be banned for the greater good of mankind.
__label__Attack	we should not ban fast food as it is cheap and convenient making busy modern day life easier.
__label__Attack	people have the free will to choose what they want to eat regardless of how unhealthy it is
__label__Attack	in a fast paced society a quick meal is a blessing
__label__Support	The recent crisis on the Polish border only underlines the urgency of this proposal.
__label__Support	Europe can no longer afford to neglect to defend its external borders and promote policies that favor illegal migration and fuel human trafficking. Strong and effective borders are the pre-condition to any aspect of a common migration policy.
__label__Position	We should promote a plant-based diet
__label__Attack	The EU leadership fails to carry out its fundamental duties: guard its border and protect its own people. Even 30 years after Schengen was introduced.
__label__Attack	Immigration should not be part of humanitarian aid. Humanitarian aid should be delivered directly to Africa / Asia. The Turkey deal should eventually be abolished.
__label__Support	Turkey is an enemy. It uses this deal to make a threat. Stop it now and send patrols to the Greek border or welcome them.
__label__Attack	Without the refugee deal, the migrants will return to invade us.
__label__Attack	The EU leadership fails to carry out its fundamental duties: guard its border and protect its own people. Even 30 years after Schengen was introduced.
__label__Attack	Immigration should not be part of humanitarian aid. Humanitarian aid should be delivered directly to Africa / Asia. The Turkey deal should eventually be abolished.
__label__Attack	Without the refugee deal, the migrants will return to invade us.
__label__Support	Turkey is an enemy. It uses this deal to make a threat. Stop it now and send patrols to the Greek border or welcome them.
__label__Position	We should use the waste from the agri-food industry in the ruminant feed chain
__label__Position	The EU should equalize the retirement age for all Europeans.
__label__Support	The standardized retirement age would not only be fairer in an open market, but it would also (and even more so in the future) prevent any complexities with being paid their retirement for those who have made their contributions in different Member States throughout their lives. Even though there is to be at least a central system for this (a step in the right direction), one will only receive a share of one's retirement from a particular Member State once one reaches the retirement age of that Member State.
__label__Attack	Retirement is often funded by taxes and taxes are decided by each member state. So each member state should also be the one who decides how those taxes are spent. For some countries, a retirement age of 65 may be unaffordable or undesirable, while for others it may not.
__label__Support	Criminal will feel the pain of the victim, if he is subjected to the same kind of harassment. Thereby, he may not commit the crime again in his life.
__label__Attack	We are living in a civilized society. World is preferring humane ways to deal with everyone including criminals. We should not stoop to the criminal's level by torturing him/her in inhumane ways.
__label__Attack	Throughout India, many false rape cases are being registered these days. Torturing all of the accused persons causes torture to innocent persons too.
__label__Position	We should subsidize vocational education
__label__Position	Wind and solar energy resources are a commodity, provided by big companies.
__label__Position	We need better ways of migration.
__label__Support	Migration is part of being human and has always happened throughout history.
__label__Support	The EU needs a humane, civilized, and legal way to manage migration, whether it is for economic reasons or to seek international protection.
__label__Support	Migration is part of being human and has always happened throughout history.
__label__Support	The EU needs a humane, civilized, and legal way to manage migration, whether it is for economic reasons or to seek international protection.
__label__Position	European citizens want quality of life and are not interested in world supremacy
__label__Attack	I have never heard anyone talking in Europe about world supremacy. So it seems kind of pointless that this is a goal of EU policy.
__label__Attack	Ensure equal opportunities for girls and women, provide them sufficient maternity leave, and institute guarantees that will protect women's careers who choose to have children. Those are the steps we need, and most EU countries already have them (not that they cannot be improved). There's absolutely no need for quotas.
__label__Attack	All wrong. Let everyone decide for himself (or herself). Forcing women into specific positions is bad ... and sexist I guess.
__label__Attack	Quotas are always disgusting examples of oppression and evil. I don't want anything of that, I want freedom and free choice.
__label__Attack	If you want something like 'increasing the percentage of women in all sectors', you need to create more women or reduce the number of men. I will better not ask questions in this direction.
__label__Attack	Every harpy screams 'more (black) women in power' until Candace Owens appears. Clever, charming black woman, but she is too clever, pro-freedom, and conservative, and that is the problem. So it isn't about women, it's mere greed and desire for power and influence.
__label__Position	We should ban the Church of Scientology
__label__Support	they are nothing but a cult and manipulate their members
__label__Support	there are questions of it's legitimacy and whether it is a cult as well as the fact that members have to pay more to move up the levels thereby leading some to come into financial troubles due to this
__label__Support	scientology is actually a wealthy cult and members are abused physically and financially.
__label__Support	the church of scientology is a cult that is harming society.
__label__Support	the church of scientology is a predatory, litigation-happy organization that serves no good purpose in the world.
__label__Attack	people have to right to their own religious beliefs, no matter how odd others find it
__label__Attack	people should be allowed to join any club, cult, religious group they want. the government should not have a say in what an individual wants to participate in.
__label__Support	the church of scientology encourages the isolation of it's members. this may lead to some members essentially being help against their will.
__label__Support	the church of scientology is a dangerous cult that has caused psychological harm to some of its members and has held some members against their will
__label__Attack	we shouldn't ban the church of scientology because it is a way to study the nature of life
__label__Attack	if people feel personal satisfaction within scientology, i do not see why we have to prohibit it.
__label__Support	we should ban the church of scientology because they brainwash their members into giving them huge sums of money.
__label__Support	we should ban the church of scientology as many ex-members report manipulation and bullying and it has been reported to be a cult which has seperated families.
__label__Support	scientology is just a business that is trying to scam people out of money.
__label__Attack	we should not ban the church of scientology because in this country everyone has the right to freely practice whatever religion they want.
__label__Attack	we should not ban the church of scientology as people have the right to support any religion they choose and the church contributes money to good causes.
__label__Support	scientology is not a real religion and you can't just take a work of sci-fi and make your own religion
__label__Attack	to pick out one religion out of many to ban would be an infringement of the freedom to practice any religion of your choosing.
__label__Support	the church of scientology is a cult and it should be banned.
__label__Support	Scientology is not a true religion it is a sect or a cult which brainwashes it's followers and makes money from them.
__label__Attack	this country was founded by the freedom of religion, so people should have the right to follow any church they want.
__label__Support	there have been credible witnesses to the fact that the church of scientology engages in physical and emotional abuse
__label__Support	scientology is in fact a cult, cults need to be stopped.
__label__Attack	we should not ban the church of scientology because people have a right to chose their believes
__label__Support	the church of scientology should be banned simply because it's wrong for a belief system to dictate how your medical care can and cannot happen - like psychiatry.
__label__Support	scientology is a cult and so is dangerous
__label__Support	this church has harmed countless people and should be labeled more as a cult
__label__Attack	we shouldn't ban the church of scientology because banning a religion goes against the constitution
__label__Support	the veracity of scientology has been sufficiently questioned as to not accept churches of scientology
__label__Support	scientology is an evil cult that is sustained by stealing from its acolytes large sums of money in exchange for nothing
__label__Attack	we have the right to practice different religions and the church of scientology should not be banned.
__label__Attack	people are free to follow the religion they choose, no matter how out there the beliefs are.
__label__Attack	scientology should not be banned as people have the right to worship in whatever religion they wish and in a way they wish to.
__label__Support	the church of scientology is known for trying to completely control the thoughts and actions of others
__label__Attack	religion should be a personal matter and the government should not dictate which faiths are allowed and which are not.
__label__Support	the church of scientology is nothing more then a cult that brachurch of scientologyinwashes people.
__label__Support	the church has engaged in harassment against detractors and former members and promotes dangerous ideas about mental health, homosexuality and child-rearing
__label__Attack	people are allowed to believe and practice what they want, we can't pick and choose, so no, we can't ban it.
__label__Support	we should ban them because it is a cult that expects members to pay lots of money to join, and if anyone tries to leave they make their life hell.
__label__Attack	many religions have toxic aspects but we cannot pick and choose which ones freedom of religion applies to.
__label__Support	the church of scientology encourages people to cut themselves off from friends and family outside the church. this isolation is potentially damaging for children as it limits the opinions they have.
__label__Attack	freedom of religion is one of the most basic human rights that exist. just because someone else might not believe in scientology doesn't give them the right to say someone else can't believe.
__label__Attack	the church is like any other church, and after all, there is supposed to be a separation of church and state.
__label__Attack	if we chose to ban one religion we could end up with all religions banned which would result in war so we should not ban the church of scientology.
__label__Support	We should ban the Church of Scientology as it does not behave in an open and transparent manner, and therefore causes issues in society.
__label__Attack	we protect freedom of religion in our country. even if we do not agree with their principles, we must respect their rights to their beliefs
__label__Attack	having a belief is not illegal and we should not ban or discriminate against those who have different beliefs. provided the church acts within the law it must be tolerated
__label__Attack	freedom of religion is freedom of religion. there is no picking and choosing based on how others feel about it. let the people do as they please, even if it's church of scientology.
__label__Support	churches in general are just cult and should be banned.
__label__Attack	the church of scientology is a choice of religion by many and a constitutional right to freedom of religion that needs to be upheld and respected.
__label__Support	the church of scientology should be banned as it is a cult not a religion
__label__Attack	people should be free to worship and pray in any way that they choose, it is a fundamental right.
__label__Attack	we cannot ban any church, people must be free to believe in whatever religion they choose. this is a fundamental right.
__label__Attack	freedom of association is protected by the first amendment
__label__Attack	people are free to practice any religion they want
__label__Support	scientology is a cult that brainwashes people
__label__Support	the church of scientology indoctrinates people from an early age in a way that has lasting repercussions.
__label__Support	it is basically a cult that steals money from naive people.
__label__Attack	we should not ban scientology, the sensationalist stories have never been proven so we would be passing judgement before any wrongdoing is confirmed
__label__Support	the church of scientology is a corrupt organization that preaches extreme values and is detrimental to society.
__label__Attack	people have the right to follow whatever religion they choose, even if they worship a science fiction novel.
__label__Attack	freedom of religion should allow the church of scientology to keep operating
__label__Attack	we live in a free society where people should be allowed to practise whatever religion they choose.
__label__Support	we should ban the church of scientology as people may not recognise it as a true religion
__label__Support	we should ban the church of scientology because any church that has "cult like" teachings should never be allowed to exist.
__label__Attack	we should not ban the church of scientology because i think everyone should have a choice in what they choose to believe in and celebrate.
__label__Support	evidence shows the Church of Scientology is a money laundering, corrupt organisation that hides behind its religious status whilst abusing its members.
__label__Attack	people have the right to freedom of religion, even scientology and this right should not be infringed upon.
__label__Support	Church of Scientology is a brainwashing organization that has no substance and does no good for other people
__label__Attack	everyone has a right to chose a religion to follow, no matter what their beliefs & practices are, it is wrong to ban a religion
__label__Attack	like other churches, the church of scientology needs to be protected via the separation of church and state.
__label__Support	The Church of Scientology is a cult and should be banned.
__label__Support	it is necessary to eliminate the church of scientology for the safety of people
__label__Support	banning the church of scientology would be good because it is very cult like.
__label__Attack	people should be allowed to believe in whatever they want to as long as they are not harming others
__label__Support	scientology is an abusive, cult-like organization that exploits its members. we must ban it to protect people.
__label__Support	The Church of Scientology is a cult that destroys families and should be banned.
__label__Support	it is one of the worse cults and should be banned
__label__Support	the church uses slave labor and other intimidation tactics to get what they want
__label__Support	scientology is a cult, we need to end cults
__label__Attack	we have freedom of religion for a reason and banning any religion is wrong.
__label__Attack	the church of scientology should have the same rights as any other church in the us
__label__Attack	i think it should not be forbidden, and let people choose what they want to do
__label__Attack	We should not ban the church of scientology since people should be able to join any religion they want to.
__label__Attack	everybody has a right to believe whatever wants so church of scientology should be protected and approved.
__label__Attack	we shouldn't ban the church of scientology as people have the right to believe in what they want
__label__Attack	everyone should be given religious freedom so those who want to follow the church of scientology should be allowed to do so and, therefore, it should not be banned.
__label__Support	the church of scientology should be banned because they espouse a fake science narative and using bullying and terror to keep people quiet.
__label__Attack	the country has freedom of religion and the church of scientology is a form of religion.
__label__Attack	people have the right to freedom of religion and should be allowed to be part of the church of scientology as a constitutional right.
__label__Support	the church of scientology is a cult and can lead to abuse as it is not regulated or observed in the same way that traditional, longstanding religions are.
__label__Attack	we cannot infringe the right to free association, even when we don't agree with the organization.
__label__Attack	we should not ban the church of scientology because people should be able to be whatever religion they want
__label__Attack	scientology should not be banned because there is freedom of religion.
__label__Support	scientology should not be recognized as a form of religion.
